year,indicator,LifeZone,pool_tc_sum,area_sum,pool_tc_per_ha,run
1984,Litter,Warm temperate moist forest,30958.53113452339,1205.3539609117215,25.68418252104682,"Modified Decay, Turnover and Spinup parameters"
1984,Soil Carbon,Boreal rain forest,7726911.016393671,109148.48865778596,70.79265238953433,"Modified Decay, Turnover and Spinup parameters"
1984,Soil Carbon,Boreal wet forest,7448087.180878403,108616.23682908775,68.57250258631483,"Modified Decay, Turnover and Spinup parameters"
1984,Soil Carbon,Cool temperate moist forest,20906196.866185445,303464.33501748473,68.89177558536126,"Modified Decay, Turnover and Spinup parameters"
1984,Soil Carbon,Cool temperate rain forest,4936761.0827851575,69789.00250735159,70.73838148446266,"Modified Decay, Turnover and Spinup parameters"
1984,Soil Carbon,Cool temperate wet forest,99925541.3271187,1459666.8536397922,68.45777245536996,"Modified Decay, Turnover and Spinup parameters"
1984,Soil Carbon,Warm temperate moist forest,81378.39492381224,1205.3539609117215,67.51410586667686,"Modified Decay, Turnover and Spinup parameters"
1984,Total Biomass,Boreal rain forest,12275326.081219524,109148.48865778596,112.46446224011807,"Modified Decay, Turnover and Spinup parameters"
1984,Total Biomass,Boreal wet forest,12215466.665528795,108616.23682908775,112.4644622401193,"Modified Decay, Turnover and Spinup parameters"
1984,Total Biomass,Cool temperate moist forest,34128953.246796414,303464.33501748473,112.46446224011795,"Modified Decay, Turnover and Spinup parameters"
1984,Total Biomass,Cool temperate rain forest,7848782.637263546,69789.00250735159,112.46446224011804,"Modified Decay, Turnover and Spinup parameters"
1984,Total Biomass,Cool temperate wet forest,164160647.7443349,1459666.8536397922,112.4644622401253,"Modified Decay, Turnover and Spinup parameters"
1984,Total Biomass,Warm temperate moist forest,135559.48502293343,1205.3539609117215,112.46446224011838,"Modified Decay, Turnover and Spinup parameters"
1985,Deadwood,Boreal rain forest,1900477.205689333,109148.48865778596,17.411850856202992,"Modified Decay, Turnover and Spinup parameters"
1985,Deadwood,Boreal wet forest,1563455.9064706895,108616.23682908775,14.39431112800247,"Modified Decay, Turnover and Spinup parameters"
1985,Deadwood,Cool temperate moist forest,4597191.0754602775,303464.33501748473,15.149032505567419,"Modified Decay, Turnover and Spinup parameters"
1985,Deadwood,Cool temperate rain forest,1211767.0795178493,69789.00250735159,17.36329559073726,"Modified Decay, Turnover and Spinup parameters"
